,Hierarchical ID,Page,Tab,Element Type,Element Name,Status,Source / Data Dependency,Transformation / Calculation,Owner/SME,Refresh Cadence,Issues,Notes,,,,,,,,,,,,,,
1,SUB-OV-CARD-01,subscriptions,Overview,card,Active Subscriptions,ACTIVE,Stripe.Subscriptions,COUNT(*) WHERE status = 'active',Data Eng,DAILY,,,,,,,,,,,,,,,,
2,SUB-OV-CARD-02,subscriptions,Overview,card,Monthly Recurring Revenue,ACTIVE,Stripe.Invoices,SUM(amount) WHERE status='paid' AND type='recurring',Finance,DAILY,,,,,,,,,,,,,,,,
3,SUB-OV-CARD-03,subscriptions,Overview,card,Avg Revenue Per User,ACTIVE,Stripe.Invoices,MRR / Active Subscriptions,Finance,DAILY,,,,,,,,,,,,,,,,
4,SUB-OV-CARD-04,subscriptions,Overview,card,Churn Rate,ACTIVE,Internal_DB.users,(Churned users this month / Active users last month) * 100,Data Science,WEEKLY,,,,,,,,,,,,,,,,
5,SUB-OV-CHART-05,subscriptions,Overview,chart/graph,Subscription Growth Trends,ACTIVE,Internal_DB.users,Monthly timeseries of New Users and Churned Users,Data Science,WEEKLY,,Monthly subscription acquisition and churn patterns,,,,,,,,,,,,,,
6,SUB-OV-CHART-06,subscriptions,Overview,chart/graph,Revenue & Churn Rate,ACTIVE,"Stripe.Invoices, Internal_DB.users",Dual-axis timeseries: MRR (line) and Churn Rate (bar),Data Science,WEEKLY,,Monthly recurring revenue and churn correlation,,,,,,,,,,,,,,
7,SUB-OV-CARD-07,subscriptions,Overview,card,Plan Type - share of wallet Basic,ACTIVE,Stripe.Subscriptions,(MRR from Basic plans / Total MRR) * 100,Product,WEEKLY,,,,,,,,,,,,,,,,
8,SUB-OV-CARD-08,subscriptions,Overview,card,Plan Type - share of wallet Premium,ACTIVE,Stripe.Subscriptions,(MRR from Premium plans / Total MRR) * 100,Product,WEEKLY,,,,,,,,,,,,,,,,
9,SUB-OV-CARD-09,subscriptions,Overview,card,Plan Type - share of wallet Enterprise,ACTIVE,Stripe.Subscriptions,(MRR from Enterprise plans / Total MRR) * 100,Product,WEEKLY,,,,,,,,,,,,,,,,
10,SUB-CA-MAP-10,subscriptions,Cohort Analysis,heat map,Cohort Analysis,ACTIVE,Internal_DB.users,Retention matrix: Cohort Month vs Months Since Signup,Data Science,WEEKLY,,Retention rates by signup cohort - each row represents customers who joined in that month,,,,,,,,,,,,,,
11,SUB-CA-CHART-11,subscriptions,Cohort Analysis,chart/graph,Cohort Survival Curves,ACTIVE,Internal_DB.users,Kaplan-Meier survival estimator grouped by signup_month,Data Science,MONTHLY,,Kaplan-Meier survival analysis by signup month,,,,,,,,,,,,,,
12,SUB-CA-TABLE-12,subscriptions,Cohort Analysis,table,Cohort Performance Summary,DRAFT,"Internal_DB.users, Stripe.Invoices","Aggregates (SUM, AVG) of MRR, LTV, Retention by cohort",Data Science,MONTHLY,,Key metrics by cohort for strategic insights,,,,,,,,,,,,,,
13,SUB-CP-CARD-13,subscriptions,Churn Prediction,card,Total At-Risk,ACTIVE,ML_Model.churn_scores,COUNT(*) WHERE churn_risk_score > 0.7,Data Science,DAILY,,,,,,,,,,,,,,,,
14,SUB-CP-CARD-14,subscriptions,Churn Prediction,card,Churn Rate,ACTIVE,Internal_DB.users,(Churned users this month / Active users last month) * 100,Data Science,WEEKLY,,,,,,,,,,,,,,,,
15,SUB-CP-CARD-15,subscriptions,Churn Prediction,card,Saved This Month,ACTIVE,Internal_DB.interventions,COUNT(*) WHERE churn_was_prevented = TRUE AND month = current_month,Growth,WEEKLY,,,,,,,,,,,,,,,,
16,SUB-CP-CHART-16,subscriptions,Churn Prediction,chart/graph,Churn Risk Distribution,ACTIVE,ML_Model.churn_scores,Histogram of churn_risk_score across all users,Data Science,DAILY,,,,,,,,,,,,,,,,
17,SUB-CP-CARD-17,subscriptions,Churn Prediction,card,Churn Prediction Model Performance,ACTIVE,ML_Model.churn_scores,"Accuracy, Precision, Recall (F1) vs holdout test set",Data Science,WEEKLY,,,,,,,,,,,,,,,,
18,SUB-CP-TABLE-18,subscriptions,Churn Prediction,table,Feature Importance,ACTIVE,ML_Model.churn_scores,Table of features ranked by SHAP value from model,Data Science,WEEKLY,,,,,,,,,,,,,,,,
19,SUB-CP-NOTE-19,subscriptions,Churn Prediction,notes,Churn Prevention Strategies,ACTIVE,"ML_Model.churn_scores, Internal_DB.playbook",Lookup table: IF risk_factor = X THEN action = Y,Growth,MONTHLY,,Recommended actions based on risk factors,,,,,,,,,,,,,,
20,SUB-CP-NOTE-20,subscriptions,Churn Prediction,notes,Recent Intervention Results,ACTIVE,Internal_DB.interventions,Simple summary of last week's campaign outcomes,Growth,WEEKLY,,Outcomes of recently executed churn prevention strategies,,,,,,,,,,,,,,
21,SUB-PS-CHART-21,subscriptions,Price Sensitivity,chart/graph,Price Sensitivity Analysis,DRAFT,"Survey.data, Stripe.Invoices",Van Westendorp Price Sensitivity Meter analysis,Product,AD_HOC,,,,,,,,,,,,,,,,
22,SUB-PS-NOTE-22,subscriptions,Price Sensitivity,notes,Optimal Pricing Recommendation,DRAFT,Survey.data,Output from Van Westendorp analysis (Optimal Price Point),Product,AD_HOC,,,,,,,,,,,,,,,,
23,SUB-PS-CHART-23,subscriptions,Price Sensitivity,chart/graph,Price Elasticity Analysis,DRAFT,Stripe.Invoices,Statistical model of %? Quantity Sold / %? Price,Data Science,AD_HOC,,,,,,,,,,,,,,,,
24,SUB-PS-NOTE-24,subscriptions,Price Sensitivity,notes,Pricing Strategy Recommendations,DRAFT,"Stripe.Invoices, Survey.data",Qualitative summary based on elasticity and survey data,Product,AD_HOC,,,,,,,,,,,,,,,,
25,SUB-AA-CARD-25,subscriptions,AARRR funnel,card,AARRR Pirate Metrics Funnel Acquisition,ACTIVE,"Google Analytics, CRM.leads",COUNT(unique_visitors),Marketing,DAILY,,,,,,,,,,,,,,,,
26,SUB-AA-CARD-26,subscriptions,AARRR funnel,card,AARRR Pirate Metrics Funnel Activation,ACTIVE,Segment.product_events,COUNT(users) WHERE activated = TRUE,Product,DAILY,,,,,,,,,,,,,,,,
27,SUB-AA-CARD-27,subscriptions,AARRR funnel,card,AARRR Pirate Metrics Funnel Retention,ACTIVE,Internal_DB.users,COUNT(users) WHERE retained_30_days = TRUE,Product,DAILY,,,,,,,,,,,,,,,,
28,SUB-AA-CARD-28,subscriptions,AARRR funnel,card,AARRR Pirate Metrics Funnel Referral,ACTIVE,ReferralTool.api,COUNT(successful_referrals),Growth,DAILY,,,,,,,,,,,,,,,,
29,SUB-AA-CARD-29,subscriptions,AARRR funnel,card,AARRR Pirate Metrics Funnel Revenue,ACTIVE,Stripe.Invoices,SUM(amount),Finance,DAILY,,,,,,,,,,,,,,,,
30,SUB-AA-CHART-30,subscriptions,AARRR funnel,chart/graph,AARRR Pirate Metrics Funnel Conversion %,ACTIVE,Various,Conversion rate between each stage of the funnel,Growth,DAILY,,,,,,,,,,,,,,,,
31,SUB-AA-CARD-31,subscriptions,AARRR funnel,card,Acquisition Channels,ACTIVE,Google Analytics,New users grouped by utm_source,Marketing,DAILY,,Customer acquisition source performance,,,,,,,,,,,,,,
32,SUB-AA-CARD-32,subscriptions,AARRR funnel,card,Activation Metrics,ACTIVE,Segment.product_events,"Time to activation, Key feature completion %",Product,DAILY,,Key user activation indicators,,,,,,,,,,,,,,
33,SUB-AA-CARD-33,subscriptions,AARRR funnel,card,Revenue Optimization,ACTIVE,Stripe.Invoices,"COUNT(upsells), AVG(upsell_amount)",Finance,WEEKLY,,Revenue per customer improvements - upsell opportunities,,,,,,,,,,,,,,
34,REV-OV-CARD-34,revenue,Overview,card,Total Revenue,ACTIVE,Stripe.Invoices,SUM(amount) WHERE status = 'paid',Finance,DAILY,,,,,,,,,,,,,,,,
35,REV-OV-CARD-35,revenue,Overview,card,Annual Recurring Revenue,ACTIVE,Stripe.Invoices,MRR * 12,Finance,DAILY,,,,,,,,,,,,,,,,
36,REV-OV-CARD-36,revenue,Overview,card,Revenue Quality Index,ACTIVE,REV-DF-CARD-63,See calculation in Definitions (REV-DF-CARD-63),Finance,MONTHLY,,,,,,,,,,,,,,,,
37,REV-OV-CARD-37,revenue,Overview,card,Revenue Predictability,ACTIVE,REV-DF-CARD-64,See calculation in Definitions (REV-DF-CARD-64),Finance,MONTHLY,,,,,,,,,,,,,,,,
38,REV-OV-CHART-38,revenue,Overview,chart/graph,Revenue Composition Trends,ACTIVE,Stripe.Invoices,"Stacked area chart: SUM(one_time), SUM(recurring) by month",Finance,WEEKLY,,Monthly breakdown of recurring vs. one-time revenue,,,,,,,,,,,,,,
39,REV-OV-CHART-39,revenue,Overview,chart/graph,Revenue by Customer Segment,ACTIVE,Stripe.Invoices,Stacked bar chart: SUM(amount) by customer_tier by month,Finance,WEEKLY,,Performance across subscription tiers,,,,,,,,,,,,,,
40,REV-OV-CARD-40,revenue,Overview,card,Revenue Growth Rate,ACTIVE,Stripe.Invoices,(MRR current month - MRR previous month) / MRR previous month,Finance,MONTHLY,,Month-over-month,,,,,,,,,,,,,,
41,REV-OV-CARD-41,revenue,Overview,card,Customer Concentration,ACTIVE,Stripe.Invoices,(SUM(amount) FROM top 20% customers / Total Revenue) * 100,Finance,MONTHLY,,Top 20% revenue share,,,,,,,,,,,,,,
42,REV-OV-CARD-42,revenue,Overview,card,Revenue Volatility,ACTIVE,REV-DF-CARD-65,See calculation in Definitions (REV-DF-CARD-65),Finance,MONTHLY,,Stability measure,,,,,,,,,,,,,,
43,REV-OV-CARD-43,revenue,Overview,card,Diversification Index,ACTIVE,REV-DF-CARD-77,See calculation in Definitions (REV-DF-CARD-77),Finance,MONTHLY,,Risk reduction score,,,,,,,,,,,,,,
44,REV-RQ-CHART-44,revenue,Revenue Quality,chart/graph,Revenue Quality Analysis,ACTIVE,Various,"Radar chart plotting Predictability, Volatility, etc.",Finance,MONTHLY,,Academic framework measuring revenue sustainability,,,,,,,,,,,,,,
45,REV-RQ-CHART-45,revenue,Revenue Quality,chart/graph,Revenue Distribution Laws,ACTIVE,Stripe.Invoices,Log-log plot of customer rank vs revenue with power law fit,Data Science,MONTHLY,,Power law analysis reveals 80/20 patterns,,,,,,,,,,,,,,
46,REV-RQ-CARD-46,revenue,Revenue Quality,card,Revenue Entropy & Diversification,ACTIVE,"REV-DF-CARD-69, REV-DF-CARD-77",See calculations in Definitions,Data Science,MONTHLY,,Risk assessment through revenue concentration analysis,,,,,,,,,,,,,,
47,REV-RQ-CARD-47,revenue,Revenue Quality,card,Feature Revenue Optimization (Kano Model),DRAFT,Survey.data,Categorization of features into Basic/Performance/Excitement,Product,AD_HOC,,Academic framework prioritizing features,,,,,,,,,,,,,,
48,REV-RQ-TABLE-48,revenue,Revenue Quality,table,Feature Prioritization Matrix,DRAFT,"Survey.data, PUD-FE-TABLE-159",RICE or WSJF scoring model,Product,AD_HOC,,Feature Category Priority Score ROI Ratio,,,,,,,,,,,,,,
49,REV-FM-CARD-49,revenue,Forecasting & Modeling,card,Forecast Range,ACTIVE,REV-FM-CHART-53,Range between 10th and 90th percentile of forecast,Finance,MONTHLY,,Month 12 range,,,,,,,,,,,,,,
50,REV-FM-CARD-50,revenue,Forecasting & Modeling,card,Volatility,ACTIVE,REV-FM-CHART-53,Standard deviation of forecasted outcomes,Finance,MONTHLY,,Monthly variation,,,,,,,,,,,,,,
51,REV-FM-CARD-51,revenue,Forecasting & Modeling,card,Success Probability,ACTIVE,REV-FM-CHART-53,Probability(Revenue >= Target) from simulation,Finance,MONTHLY,,Meeting targets,,,,,,,,,,,,,,
52,REV-FM-CARD-52,revenue,Forecasting & Modeling,card,Scenario Analysis,ACTIVE,Manual Input,Manual override of model assumptions for specific scenarios,Finance,AD_HOC,,Probability-weighted outcomes under different conditions,,,,,,,,,,,,,,
53,REV-FM-CHART-53,revenue,Forecasting & Modeling,chart/graph,Revenue Forecast with Uncertainty,BROKEN,Stripe.Invoices,Monte Carlo simulation (1000 runs) based on historical growth & volatility,Data Science,MONTHLY,hide uncertainty widget is broken,,,,,,,,,,,,,,,
54,REV-FM-CARD-54,revenue,Forecasting & Modeling,card,Innovation Coefficient (p),ACTIVE,REV-FM-CHART-57,Fitted parameter from Bass Diffusion Model,Data Science,MONTHLY,,External influence strength,,,,,,,,,,,,,,
55,REV-FM-CARD-55,revenue,Forecasting & Modeling,card,Imitation Coefficient (q),ACTIVE,REV-FM-CHART-57,Fitted parameter from Bass Diffusion Model,Data Science,MONTHLY,,Word-of-mouth effect,,,,,,,,,,,,,,
56,REV-FM-CARD-56,revenue,Forecasting & Modeling,card,Peak Growth Month,ACTIVE,REV-FM-CHART-57,Calculated from Bass Diffusion Model parameters,Data Science,MONTHLY,,Maximum adoption rate,,,,,,,,,,,,,,
57,REV-FM-CHART-57,revenue,Forecasting & Modeling,chart/graph,Bass Diffusion Model,ACTIVE,Stripe.Invoices,Fitted Bass model: N(t) = p + q*(N(t-1)/m) * (m - N(t-1)),Data Science,MONTHLY,,Academic framework modeling innovation adoption,,,,,,,,,,,,,,
58,REV-FM-CHART-58,revenue,Forecasting & Modeling,chart/graph,Weibull Survival Analysis,ACTIVE,Internal_DB.users,Fitted Weibull survival function S(t) = exp(-(t/?)^k),Data Science,MONTHLY,,Advanced statistical modeling of customer revenue survival,,,,,,,,,,,,,,
59,REV-FM-CARD-59,revenue,Forecasting & Modeling,card,Weibull Shape Parameter (k),ACTIVE,REV-FM-CHART-58,Fitted parameter from Weibull model,Data Science,MONTHLY,,,,,,,,,,,,,,,,
60,REV-FM-CARD-60,revenue,Forecasting & Modeling,card,Weibull Scale Parameter (?),ACTIVE,REV-FM-CHART-58,Fitted parameter from Weibull model,Data Science,MONTHLY,,,,,,,,,,,,,,,,
61,REV-FM-CARD-61,revenue,Forecasting & Modeling,card,Weibull Mean Lifetime,ACTIVE,REV-FM-CHART-58,? * ?(1 + 1/k),Data Science,MONTHLY,,,,,,,,,,,,,,,,
62,REV-FM-CARD-62,revenue,Forecasting & Modeling,card,Weibull Median Lifetime,ACTIVE,REV-FM-CHART-58,? * (ln(2))^(1/k),Data Science,MONTHLY,,,,,,,,,,,,,,,,
63,REV-DF-CARD-63,revenue,Definitions,card,Revenue Quality Index (RQI),ACTIVE,"REV-OV-CARD-37, REV-OV-CARD-42",(0.6 * Predictability) + (0.4 * (1 - Volatility)),Finance,MONTHLY,,Composite score measuring revenue sustainability,,,,,,,,,,,,,,
64,REV-DF-CARD-64,revenue,Definitions,card,Revenue Predictability,ACTIVE,Stripe.Invoices,(SUM(recurring_revenue) / SUM(total_revenue)) * 100,Finance,MONTHLY,,Percentage of revenue from recurring sources,,,,,,,,,,,,,,
65,REV-DF-CARD-65,revenue,Definitions,card,Revenue Volatility,ACTIVE,Stripe.Invoices,STDEV(LAST_12_MONTHS(MRR)) / AVG(LAST_12_MONTHS(MRR)),Finance,MONTHLY,,Measure of month-to-month revenue variation,,,,,,,,,,,,,,
66,REV-DF-CARD-66,revenue,Definitions,card,Annual Recurring Revenue (ARR),ACTIVE,Stripe.Invoices,MRR * 12,Finance,MONTHLY,,Annualized value of recurring revenue streams,,,,,,,,,,,,,,
67,REV-DF-CARD-67,revenue,Definitions,card,Net Revenue Retention (NRR),ACTIVE,Stripe.Invoices,((Starting MRR + Expansion - Churn) / Starting MRR) * 100,Finance,MONTHLY,,Measures revenue growth from existing customers,,,,,,,,,,,,,,
68,REV-DF-CARD-68,revenue,Definitions,card,Zipf's Law,ACTIVE,N/A,Definition only,Data Science,N/A,,Power law stating that the nth largest item is 1/n the size of the largest,,,,,,,,,,,,,,
69,REV-DF-CARD-69,revenue,Definitions,card,Shannon Entropy,ACTIVE,Stripe.Invoices,-?(p_i * ln(p_i)) where p_i is revenue share of segment i,Data Science,MONTHLY,,Information theory measure of uncertainty/randomness,,,,,,,,,,,,,,
70,REV-DF-CARD-70,revenue,Definitions,card,Bass Diffusion Model,ACTIVE,N/A,Definition only,Data Science,N/A,,Mathematical model describing product adoption,,,,,,,,,,,,,,
71,REV-DF-CARD-71,revenue,Definitions,card,Weibull Distribution,ACTIVE,N/A,Definition only,Data Science,N/A,,Survival analysis model measuring time-to-event,,,,,,,,,,,,,,
72,REV-DF-CARD-72,revenue,Definitions,card,Monte Carlo Simulation,ACTIVE,N/A,Definition only,Data Science,N/A,,Statistical technique using random sampling,,,,,,,,,,,,,,
73,REV-DF-CARD-73,revenue,Definitions,card,Kano Model,ACTIVE,N/A,Definition only,Product,N/A,,Prioritization framework categorizing features,,,,,,,,,,,,,,
74,REV-DF-CARD-74,revenue,Definitions,card,Pareto Principle (80/20 Rule),ACTIVE,N/A,Definition only,Data Science,N/A,,Empirical observation that 80% of effects come from 20% of causes,,,,,,,,,,,,,,
75,REV-DF-CARD-75,revenue,Definitions,card,Customer Lifetime Value (CLV),ACTIVE,N/A,Definition only,Data Science,N/A,hide uncertainty widget is broken,Prediction of total revenue from a customer,,,,,,,,,,,,,,
76,REV-DF-CARD-76,revenue,Definitions,card,Churn Rate,ACTIVE,N/A,Definition only,Data Science,N/A,,Percentage of customers who stop using service,,,,,,,,,,,,,,
77,REV-DF-CARD-77,revenue,Definitions,card,Diversification Index,ACTIVE,REV-DF-CARD-69,Actual Entropy / Maximum Possible Entropy,Data Science,MONTHLY,,Measures how evenly revenue is distributed,,,,,,,,,,,,,,
78,REV-DF-CARD-78,revenue,Definitions,card,Power Law Exponent,ACTIVE,REV-RQ-CHART-45,Slope ? from the log-log plot fit log(rank) = c - ? * log(revenue),Data Science,MONTHLY,,"In customer revenue distributions, describes steepness of concentration",,,,,,,,,,,,,,
79,REV-DF-CARD-79,revenue,Definitions,card,R-Squared (Coefficient of Determination),ACTIVE,REV-RQ-CHART-45,Goodness-of-fit measure for the power law model,Data Science,MONTHLY,,Statistical measure of how well data fits a model,,,,,,,,,,,,,,
80,REV-DF-CARD-80,revenue,Definitions,card,Hazard Rate,ACTIVE,REV-FM-CHART-58,(k/?) * (t/?)^(k-1) (Derived from Weibull parameters),Data Science,MONTHLY,,Instantaneous probability of churn at any given time,,,,,,,,,,,,,,
81,REV-DF-CARD-81,revenue,Definitions,card,Confidence Intervals,ACTIVE,N/A,Definition only,Data Science,N/A,,Statistical ranges indicating uncertainty in forecasts,,,,,,,,,,,,,,
82,REV-DF-CARD-82,revenue,Definitions,card,Information Theory,ACTIVE,N/A,Definition only,Data Science,N/A,,Claude Shannon's mathematical framework,,,,,,,,,,,,,,
83,REV-DF-CARD-83,revenue,Definitions,card,Power Law Distributions,ACTIVE,N/A,Definition only,Data Science,N/A,,Mathematical relationships where one quantity varies as a power of another,,,,,,,,,,,,,,
